city,latitude,longitude,timestamp,currentspeed,freeflowspeed,currenttraveltime,freeflowtraveltime,confidence,roadclosure,source
Indore,22.7196,75.8577,2025-11-27 16:25:56.291921,1970-01-01 00:00:00.000000014,21,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:25:57.534664,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.95046,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:25:58.738547,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:25:59.940614,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.755519,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:26:31.371003,1970-01-01 00:00:00.000000014,21,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:26:32.664502,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.951101,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:26:33.842348,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.82,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:26:35.017553,1970-01-01 00:00:00.000000018,22,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000447,0.741704,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:27:06.412027,1970-01-01 00:00:00.000000014,22,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:27:07.630061,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.951101,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:27:08.831847,1970-01-01 00:00:00.000000021,27,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000283,0.82,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:27:10.094474,1970-01-01 00:00:00.000000018,22,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000447,0.739087,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:27:41.474158,1970-01-01 00:00:00.000000014,22,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:27:42.758582,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.951101,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:27:43.919272,1970-01-01 00:00:00.000000021,27,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000283,0.82,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:27:45.128803,1970-01-01 00:00:00.000000018,21,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000468,0.73647,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:28:18.097974,1970-01-01 00:00:00.000000014,21,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:28:22.994851,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.949921,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:28:24.392960,1970-01-01 00:00:00.000000021,27,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000283,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:28:25.741841,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.710413,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:29:37.353530,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.946795,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:29:47.235018,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:30:07.759391,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.775959,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:31:21.604946,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:31:23.097405,1970-01-01 00:00:00.000000018,21,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000468,0.771917,False,traffic_live
