city,latitude,longitude,timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Ujjain,23.1765,75.7885,2025-11-14 15:05:45.072581,20,26,382,294,0.94103,False
Bhopal,23.2599,77.4126,2025-11-14 15:05:45.680802,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:06:16.322460,11,22,263,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:06:16.947028,35,44,987,785,0.973873,False
Ujjain,23.1765,75.7885,2025-11-14 15:06:17.578119,20,26,382,294,0.94103,False
Bhopal,23.2599,77.4126,2025-11-14 15:06:18.212434,22,22,447,447,1.0,False
Indore,22.7196,75.8577,2025-11-14 15:06:48.857941,11,21,263,138,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:06:49.498193,34,44,1016,785,0.974488,False
Ujjain,23.1765,75.7885,2025-11-14 15:06:50.104938,20,26,382,294,0.94103,False
Bhopal,23.2599,77.4126,2025-11-14 15:06:50.740853,18,21,546,468,0.851504,False
Indore,22.7196,75.8577,2025-11-14 15:07:21.364937,9,21,322,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:07:21.991205,35,44,987,785,0.974953,False
Ujjain,23.1765,75.7885,2025-11-14 15:07:22.633038,20,26,382,294,0.930124,False
Bhopal,23.2599,77.4126,2025-11-14 15:07:23.259296,18,21,546,468,0.851504,False
Indore,22.7196,75.8577,2025-11-14 15:07:53.882085,9,21,322,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:07:54.501721,35,43,987,804,0.974953,False
Ujjain,23.1765,75.7885,2025-11-14 15:07:55.153726,20,26,382,294,0.931824,False
Bhopal,23.2599,77.4126,2025-11-14 15:07:55.786544,17,21,578,468,0.847463,False
Indore,22.7196,75.8577,2025-11-14 15:08:26.420744,10,21,289,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:08:27.037876,36,44,960,785,0.974953,False
Ujjain,23.1765,75.7885,2025-11-14 15:08:27.652083,20,25,382,306,0.931824,False
Bhopal,23.2599,77.4126,2025-11-14 15:08:28.268125,18,22,546,447,0.843421,False
Indore,22.7196,75.8577,2025-11-14 15:08:58.886920,13,21,222,138,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:08:59.561822,36,44,960,785,0.973872,False
Ujjain,23.1765,75.7885,2025-11-14 15:09:00.181978,20,25,382,306,0.926522,False
Bhopal,23.2599,77.4126,2025-11-14 15:09:00.809180,18,22,546,447,0.843421,False
Indore,22.7196,75.8577,2025-11-14 15:09:31.425791,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:09:32.041928,36,44,960,785,0.973609,False
Ujjain,23.1765,75.7885,2025-11-14 15:09:32.667803,20,25,382,306,0.926522,False
Bhopal,23.2599,77.4126,2025-11-14 15:09:33.291663,18,21,546,468,0.84938,False
